ticket_volume,deadline_proximity,sleep_quality,complexity,interruptions,eeg_beta,eeg_alpha,eeg_delta,eeg_theta,state_label
2,0,3,0,3,0.2662219445827061,0.7256379799728451,0.9239614336825609,1.0,Fatigued
0,3,1,1,2,0.5880128533733806,0.48415817785610127,0.3052910626798863,0.7221448659328492,Distracted
1,1,2,3,3,0.4901974153628197,0.5862250126707623,0.7276224564039003,1.0,Fatigued
2,1,1,1,3,0.5166184873007417,0.47300345653196374,0.40468574288191084,0.9823889326464956,Distracted
2,1,1,3,1,0.6094184623311599,0.3908558587352681,0.3394555720441252,0.3829124217673205,Focused
2,0,1,2,3,0.24440271121356516,0.7785671718952245,0.32652081072746747,1.0,Distracted
2,0,2,3,3,0.5863068566627545,0.5100237272772398,0.7350112134268915,1.0,Fatigued
1,3,2,3,3,0.6931004161977676,0.2518869038252244,0.6590899456831726,1.0,Fatigued
1,2,3,3,2,0.3952052783030604,0.5958968909497058,1.0,0.5879527261325074,Fatigued
2,0,2,2,3,0.47411698861365364,0.5247145075432756,0.6292858685461863,0.9459791710644014,Distracted
0,3,0,3,2,0.6916198481105738,0.2583094853371431,0.07904241926606558,0.6569904853900117,Distracted
2,1,1,2,3,0.5573415613099179,0.48020894942057885,0.31593280141987773,0.9638009059015887,Distracted
0,1,1,2,1,0.2862764821726624,0.7440087527526975,0.39333918101844784,0.3548186956287136,Relaxed
3,0,0,0,3,0.40836401192014055,0.5317744471355915,0.0,0.9431960451003234,Distracted
2,3,1,3,3,0.812110041374703,0.1797233678497125,0.3628463639104479,0.9567384326709558,Stressed
2,0,0,0,0,0.2492690478210933,0.7469737675986612,0.03333422039815938,0.10027717143126112,Relaxed
2,1,1,2,0,0.5623841319245017,0.4399710952640742,0.2656036753528402,0.006434151783461,Focused
2,3,0,1,2,0.7385880927804505,0.2572015024595555,0.0,0.6988830121846203,Stressed
2,1,1,3,3,0.6794675690918771,0.35173397732886336,0.29237858694914187,1.0,Distracted
1,0,1,1,3,0.2886668387108843,0.7113307337772321,0.3529999942002418,0.9610850591795683,Distracted
1,0,2,3,3,0.2691993848216814,0.7390497526292784,0.6991365504038506,0.9944195218336777,Fatigued
3,0,1,2,1,0.5780862551546303,0.4311121478277349,0.29160268107970977,0.40787572656496274,Focused
3,1,2,2,0,0.7014267477850348,0.21120994945142268,0.6465477605833655,0.0,Stressed
0,0,2,3,2,0.16623360337164064,0.8858075263735292,0.6624194376833062,0.7354046073273856,Fatigued
3,3,1,3,1,1.0,0.0,0.3558272661991424,0.32861668586774456,Stressed
1,3,2,3,1,0.7417892912781283,0.20694280834888368,0.6835459989388252,0.2763021250996652,Fatigued
1,0,1,1,0,0.2631673865304279,0.6706108256098259,0.24567941583420222,0.07667696873282177,Relaxed
2,0,2,1,0,0.4086650131526807,0.6059662961724399,0.6699037687909094,0.008427725013193688,Fatigued
1,2,3,2,1,0.4225719647439702,0.6203245754749142,1.0,0.40641683512165483,Fatigued
0,1,2,1,2,0.13835509454269634,0.9382723271378022,0.6332438264869867,0.6065134976156263,Relaxed
2,1,1,0,0,0.42070067050551907,0.498350715590802,0.324938869528452,0.0,Focused
1,1,1,1,1,0.32444558479741525,0.7250087626693918,0.34731256053359894,0.3003063179549503,Relaxed
1,2,1,2,2,0.4926170638158758,0.5660596964433168,0.3650810833599849,0.6576948849539569,Distracted
1,3,1,3,2,0.7291761865597374,0.342856024927641,0.34813123825524545,0.6670264142412521,Stressed
1,0,2,1,3,0.19627763570390924,0.7767127199301953,0.5401359441638073,0.9114321710469379,Distracted
3,0,2,0,2,0.3187187724100377,0.6634016685388963,0.724539962197897,0.6458010440492398,Fatigued
1,3,2,1,2,0.5701175674981878,0.392602758338005,0.6918025038180002,0.732143324958081,Fatigued
1,1,2,1,1,0.3662793515229004,0.6898926166494685,0.713108892406867,0.32383137650549293,Fatigued
2,0,1,3,0,0.5756905940837586,0.41364577903877675,0.3108450911793807,0.03528545873446879,Focused
0,1,2,1,0,0.17141278851211866,0.7944316222792093,0.6382033942477541,0.0006032635009416924,Relaxed
1,3,1,1,0,0.5908046199679942,0.37396112800939874,0.23533006191082273,0.034576137836735396,Focused
2,2,1,2,3,0.6723306393457391,0.271708054471835,0.2803081489475395,1.0,Distracted
2,3,2,2,0,0.788042563487075,0.15383769784728854,0.6046677775581465,0.0,Stressed
3,1,1,3,0,0.870295094200655,0.15333664872571623,0.3278572716292689,0.0,Stressed
1,1,1,0,0,0.2119257237584083,0.8214697960095487,0.29672337744362,0.0,Relaxed
1,1,1,0,1,0.23198587459215353,0.8589558243090486,0.40168578802292143,0.3779735640187061,Relaxed
3,2,0,1,2,0.7496975271888575,0.2161529420245117,0.060504178970250004,0.6978460050554401,Stressed
3,3,0,0,2,0.7763046404344617,0.16750424899103494,0.016338473866023245,0.6699885348574574,Stressed
0,3,1,0,0,0.3743654354309787,0.540636732898407,0.3248897252425138,0.08372920809056635,Relaxed
3,1,2,2,1,0.7140697356688066,0.23092619375349,0.6314214811025587,0.4110005414959683,Stressed
3,1,1,3,2,0.7113231155811947,0.14527158189801428,0.2662963267551046,0.62430237967781,Stressed
2,0,1,3,1,0.4581257668867104,0.5033494641111874,0.33711256107203214,0.3443898885360049,Focused
3,1,2,2,1,0.5826396177036541,0.36218341286584005,0.6787302394348036,0.2819695528131068,Fatigued
2,1,0,0,0,0.4134532672797532,0.54162600459026,0.049490755831233926,0.005425907169327435,Focused
0,1,0,1,1,0.22714227327146067,0.7978589624088103,0.06282294927460297,0.24088851148248258,Relaxed
1,0,0,0,1,0.13572782769040254,0.9649563851056017,0.022931446475448196,0.38656589144636866,Relaxed
3,0,0,0,2,0.37210439975689175,0.584338606517443,0.0,0.6048834991287633,Relaxed
0,2,3,0,2,0.28353895770273624,0.7342882410121037,1.0,0.6158013355424758,Fatigued
2,1,1,0,3,0.402019659204393,0.6636065319043531,0.3157623080916504,1.0,Distracted
1,3,3,0,2,0.48608668691613294,0.5572687406588146,0.9128363640728215,0.6888208139878658,Fatigued
0,1,1,3,1,0.3670824640473165,0.5695808973741695,0.33552283928711074,0.347619204344653,Relaxed
1,2,1,0,2,0.3801105428221368,0.6250218331592244,0.32848800395338124,0.700218109495511,Distracted
2,1,2,0,3,0.3896865530781288,0.5939861435379292,0.7315308924684522,0.9913080552040425,Fatigued
1,0,1,2,2,0.24001987082247267,0.7883518876439051,0.286465277943163,0.6278630482008644,Relaxed
1,1,1,2,3,0.47502509796328196,0.5161097015266345,0.3260404661779716,1.0,Distracted
1,0,1,0,1,0.08321249611879396,0.9305399765513119,0.3176422543367362,0.1957145604575455,Relaxed
2,2,2,2,2,0.7287038008293778,0.32573811089560323,0.6244920761517371,0.6897060635966461,Stressed
0,1,1,2,3,0.3292191633771521,0.5567447276627557,0.2792446138506261,1.0,Distracted
1,3,2,2,3,0.6406203969393576,0.4016990551891636,0.6628001972850153,1.0,Fatigued
3,2,1,2,0,0.8092611070462339,0.16131818014481447,0.21226480422678767,0.06597206083569093,Stressed
1,0,1,1,0,0.19905376199182842,0.8577515478633715,0.3756531431773214,0.033527379768240266,Relaxed
1,0,1,0,2,0.2403125060226234,0.7921779038799655,0.35831472240067463,0.7218403343105282,Distracted
1,2,2,3,2,0.6232846383799979,0.31348477244488593,0.6398688742868281,0.6329888121600004,Focused
1,1,0,1,2,0.3393527314302393,0.7389387199277773,0.0,0.6619386330819474,Distracted
2,1,3,1,3,0.43570739640019673,0.5401828071716029,1.0,1.0,Fatigued
2,1,1,0,0,0.3959035040494364,0.6100868304172887,0.4360847058601932,0.0,Relaxed
1,1,1,2,1,0.40895509552595544,0.5807725906049535,0.4367506403037664,0.4018158149807513,Focused
3,3,0,3,2,1.0,0.0,0.07600347165192561,0.6348896853051758,Stressed
2,0,1,3,2,0.4302101308388103,0.6186298274799494,0.4043980309318114,0.6939822281149087,Distracted
1,3,2,0,3,0.38265035892450183,0.6558369153461926,0.6241523613436153,0.9850093113483199,Distracted
1,1,1,3,1,0.3537557052717914,0.7197061048731672,0.3674771282336929,0.32545363225820456,Relaxed
1,0,2,0,3,0.04563092125779196,0.9682800006703164,0.6451761348825666,0.9834402750436161,Distracted
1,2,1,1,3,0.4689550690762395,0.6330042301560199,0.3201028010363152,0.9315314180072727,Distracted
2,0,2,2,1,0.34731259572622664,0.5483351463467281,0.6836343601765511,0.3123623980010267,Fatigued
1,1,1,1,3,0.3252833777784158,0.7186227870270676,0.35049957104758517,0.914374939433879,Distracted
1,2,1,0,1,0.32977549648628746,0.5982314826809615,0.3223594369213891,0.3321892223164231,Relaxed
1,2,2,0,0,0.42045568599962596,0.5734084744341161,0.6869666382044586,0.0,Fatigued
3,1,1,1,2,0.6385103929251187,0.27712565615153817,0.3020317787435259,0.7230437836907385,Distracted
0,0,0,2,3,0.152349935946684,0.8568781783439117,0.0,1.0,Distracted
3,2,1,0,1,0.6248892495337974,0.35447340176481745,0.3272593014393497,0.3884753623630583,Focused
3,2,1,3,1,0.9329438430054768,0.014327865889951871,0.306872100788201,0.31509394473472313,Stressed
1,2,2,1,2,0.48160849934395183,0.5481442591754954,0.7093695493299458,0.6873310747764987,Fatigued
0,1,1,0,3,0.12280580946151101,0.8884602823207582,0.3092594390607557,1.0,Distracted
2,2,2,2,3,0.5942394087748443,0.3569239425547309,0.619602664372653,0.8850417595639508,Distracted
1,2,1,1,1,0.47642650975487516,0.5259143374317058,0.36507815420156653,0.28820212866864775,Focused
0,0,2,0,1,0.021469188931011705,0.9850092154725648,0.6364947411854682,0.3312014860759176,Relaxed
1,2,0,2,0,0.5324190026018344,0.5053082507253613,0.0,0.04694383593717719,Focused
0,2,1,0,2,0.22932510771921824,0.7207157411586024,0.26995860076125827,0.6909962417316751,Distracted
1,1,1,3,0,0.4522143886966051,0.4936702111369894,0.29036530286933804,0.013043463502815926,Focused
0,3,1,3,2,0.6943204872151483,0.37090231533733464,0.34115834051347915,0.6849781981943148,Distracted
0,1,1,0,3,0.17253611092058124,0.8259102704321535,0.32009913298204945,0.9831034337276435,Distracted
2,2,2,0,0,0.5298875667392713,0.4694760183916372,0.555349685207405,0.0,Focused
2,1,2,1,2,0.4415792905652028,0.5241471172267136,0.7322603161024357,0.7264625672216025,Fatigued
1,0,2,1,3,0.24853629480336728,0.7092331472615634,0.5824378020358513,1.0,Distracted
1,0,2,0,1,0.16172249028198346,0.844823775099526,0.6376438912853569,0.37669471490511647,Relaxed
0,2,1,1,2,0.3675801366461419,0.5673489757678066,0.3244857833650056,0.6111224714912645,Relaxed
2,2,1,0,1,0.5474756499245356,0.404041545675307,0.29037886053120576,0.3744907266499431,Focused
1,3,0,0,0,0.5744047851360984,0.39997617784130945,0.08457748385446195,0.0,Focused
2,1,2,2,2,0.6025481056762743,0.3993745218297368,0.7068560126536629,0.7097234772714628,Fatigued
3,1,2,3,3,0.6646264188230178,0.32623970350839365,0.6669160463035636,1.0,Fatigued
1,1,2,2,2,0.47611077851239864,0.652883249298241,0.6511853621330453,0.6009033250935119,Fatigued
1,0,1,1,3,0.18342711315631624,0.8882457146031133,0.32298554390155687,1.0,Distracted
2,1,2,0,0,0.3778893524674917,0.5854005818498152,0.6635863539581978,0.007649676030517125,Fatigued
2,0,1,0,1,0.24526425432598617,0.7447636807252389,0.31648825867637487,0.33864627930183294,Relaxed
2,1,3,2,2,0.4446934298180241,0.5125490203787775,1.0,0.6448616425325522,Fatigued
2,0,2,1,3,0.3086893918374321,0.6820232510468917,0.6376298825974593,0.914851339507533,Distracted
1,0,2,3,1,0.37026969041639946,0.7272185162255418,0.6246868248888418,0.3276481064546367,Relaxed
0,2,2,3,2,0.4095729766124557,0.6496034297083351,0.7225032636325147,0.6890264644633157,Fatigued
0,2,0,1,1,0.3237786138598581,0.7291489039023534,0.0,0.35082723811609573,Relaxed
0,0,1,0,0,0.01421427663796896,0.9292198884253362,0.3214114017264895,0.006978858732150862,Relaxed
1,3,1,3,3,0.8062576292902253,0.18981604184189071,0.3996301157248035,1.0,Stressed
1,1,0,1,1,0.41175612521625066,0.4526733078661248,0.0,0.35219432337830064,Focused
1,0,1,1,3,0.25750427444549423,0.7815719093223118,0.3250331017915419,0.9814907895038654,Distracted
2,0,3,0,2,0.249706769995283,0.6953461061734518,0.9852582029875998,0.6772778964285487,Fatigued
2,3,1,3,0,0.8232224649864315,0.15434585482859473,0.37795333780519913,0.02571663776073606,Stressed
1,3,3,2,0,0.6564291819500714,0.3860331012533892,0.986484357162733,0.0,Fatigued
2,3,1,0,2,0.6249113437493641,0.40016285008223956,0.33211759724384576,0.6436664132459836,Focused
3,3,3,2,3,0.9235657503656514,0.09756643718487486,0.9920712769517498,0.9749291363775373,Fatigued
0,2,2,2,1,0.43267141054460434,0.5114312639854641,0.6398578505287648,0.3877989487114143,Focused
1,1,2,3,3,0.5132763514485025,0.45521823463059147,0.648923367252943,1.0,Distracted
3,1,1,1,3,0.6051618204806785,0.4101393055278011,0.32242643338271565,1.0,Distracted
0,3,2,1,0,0.397365378240662,0.5572428788386717,0.6192375429177109,0.07597073754472831,Relaxed
1,3,2,2,3,0.7481288900018334,0.27424442521250564,0.6673552079318985,1.0,Fatigued
3,1,1,0,1,0.4949524675997838,0.43359380873407616,0.32616224473894795,0.29874486213215984,Focused
2,2,1,0,3,0.542739210867554,0.43908496538140795,0.36741097489774177,0.9734490338230506,Distracted
0,2,1,0,1,0.2850134005894999,0.6931347681919663,0.2982684150329248,0.23281462776037432,Relaxed
1,1,1,2,2,0.5303150015448336,0.566319933402597,0.29929907718717835,0.5831840665354393,Focused
1,2,2,1,1,0.4992019971782066,0.47834178948094813,0.6398968508875187,0.3252413129124626,Focused
0,0,1,3,2,0.1797874942107933,0.8533517277044514,0.27631813864133536,0.6833644095098967,Distracted
0,0,1,0,0,0.0,1.0,0.3212413171600572,0.04943737883122322,Relaxed
0,0,2,0,2,0.0,0.9407587469942806,0.6729499085973241,0.6549596117736647,Fatigued
1,1,2,0,3,0.3168094450234926,0.7215140662995706,0.7412309693826612,1.0,Fatigued
1,1,2,2,2,0.4633229349768562,0.5648155741464227,0.7087212593647652,0.6482067354338023,Fatigued
1,2,2,1,3,0.588199663881642,0.40574652720754106,0.6793626790455094,0.8910877911069427,Fatigued
0,1,1,0,1,0.03671086430358422,0.9802823115327592,0.39107092910087066,0.3325906127654844,Relaxed
0,2,1,0,1,0.22739601604310722,0.7358949204278623,0.3546452813266068,0.29481496014446673,Relaxed
1,3,0,0,3,0.5957450859356135,0.364806666920364,0.0,0.9927443368486469,Distracted
1,1,1,0,3,0.3083496556072508,0.6641966990780642,0.3281965998173825,0.9692852611023222,Distracted
1,3,2,3,3,0.7582772757366348,0.294476777742692,0.639023258514321,1.0,Stressed
3,3,0,3,2,0.8594090066770762,0.15686146999577627,0.013037669869785218,0.6033471874658908,Stressed
2,3,1,1,0,0.7200541224038223,0.252585184216871,0.35054565709269314,0.0,Stressed
2,1,1,2,1,0.517293964212871,0.4422069050796477,0.2931865997540195,0.3667639944140778,Focused
0,1,2,0,0,0.09781321400624715,0.836972717663923,0.6978816718850569,0.007999052938730369,Fatigued
1,3,2,3,2,0.8042137543888661,0.09987774772192433,0.6908896263224351,0.6915105197271726,Fatigued
2,2,1,0,3,0.5539269814871843,0.4296055659479826,0.3216658222524521,1.0,Distracted
1,1,1,3,2,0.40331087739031624,0.638872286259068,0.37295011026748215,0.6025501710415142,Focused
2,1,0,3,1,0.6821707572385508,0.3067881780113816,0.0,0.3187909673843286,Focused
1,1,1,0,2,0.2849138294085864,0.7427489024365718,0.3215857291123428,0.6722494891128808,Distracted
0,0,3,3,2,0.11730468263104835,0.8212587946675457,0.9852559050168794,0.668148566465731,Fatigued
2,1,1,0,3,0.34761755624605684,0.5592251728158297,0.24316885446748054,1.0,Distracted
3,0,1,2,3,0.5879686935390986,0.31535432920962303,0.1984909744833387,0.9494535278358499,Distracted
1,0,1,1,3,0.22653504277082426,0.7379244253011856,0.2645144513388102,1.0,Distracted
2,1,2,2,0,0.47844754841896103,0.5121322682785308,0.7114021932951075,0.016335385087260786,Fatigued
2,0,2,0,0,0.2823622412355559,0.7573272002878659,0.7127863376394965,0.026516999927749637,Fatigued
2,2,1,3,1,0.8227099028411021,0.14481776844848562,0.33293414395614,0.3452775047657762,Stressed
1,2,2,0,0,0.42653806906754493,0.505697610351333,0.7214170725577591,0.0,Fatigued
2,0,1,1,3,0.2872364208575245,0.7525580322212369,0.32571539881971234,0.9143145731545945,Distracted
1,0,0,0,3,0.11381001286699981,0.9520918898398392,0.011989751033545479,1.0,Distracted
0,0,1,1,0,0.13161267040597502,0.8954024819573602,0.39019183212370045,0.0,Relaxed
0,1,0,0,3,0.12154280318784393,0.9493591601415682,0.06229122355601038,0.9488374867881199,Distracted
1,0,1,1,2,0.24709902971138964,0.7863949299720987,0.27813253930583026,0.7426709950605993,Distracted
2,2,1,1,3,0.567077488646358,0.4276311789712397,0.290522099839182,1.0,Distracted
3,2,0,0,2,0.6515322539856798,0.354518021980575,0.07634526303831456,0.6895008686097659,Distracted
2,0,3,2,0,0.49546119724952614,0.49536524830897954,1.0,0.0,Fatigued
2,0,1,1,0,0.3242163590409639,0.7479858031986139,0.3338404751665316,0.0,Relaxed
2,2,1,1,3,0.6028506637710367,0.37864241031778095,0.36578466171008106,1.0,Distracted
1,1,2,3,3,0.51767225057807,0.6368661897253921,0.6770139829028317,0.9977551280136099,Fatigued
2,1,3,3,3,0.6994717596069548,0.30415568985121133,1.0,1.0,Fatigued
1,3,1,2,1,0.6645730354101426,0.3148038770536521,0.33801414625762066,0.38210787652432826,Focused
1,2,1,0,0,0.3698313771133402,0.6275351503781356,0.2971640556589503,0.0,Relaxed
3,3,2,0,1,0.7659193637720605,0.2825910570842994,0.6736804997853113,0.3806594089462716,Fatigued
2,1,1,0,0,0.38501376525041464,0.7076491905415826,0.38850411080156466,0.0034709081195749003,Relaxed
2,0,2,0,3,0.24248721866122658,0.8254360269430734,0.6301530607432172,1.0,Distracted
2,1,2,0,2,0.336377079474091,0.7651610583413326,0.6323478521936293,0.6985669204053429,Distracted
0,1,1,2,2,0.24192841769613663,0.6721513079538713,0.3373504268571181,0.6984336760426247,Distracted
0,2,2,2,0,0.4071692754483668,0.5742696333868774,0.6598314671711748,0.07285590034606473,Fatigued
3,3,1,0,0,0.7572618442485267,0.2575749014535583,0.38124269701699715,0.0,Stressed
2,1,1,3,1,0.6125021691021655,0.3037213226373519,0.35273303617137236,0.40684920085250664,Focused
1,1,2,0,2,0.29921578501626434,0.6850792236102454,0.6743362163161453,0.634803421113764,Fatigued
1,1,2,3,3,0.5043352450269806,0.40397840638770405,0.67494163521231,1.0,Fatigued
3,3,1,1,3,0.8458079138084961,0.2914843347498004,0.44544214047376424,1.0,Stressed
2,0,1,0,3,0.2678314944684672,0.7505796072482117,0.30540155611338765,1.0,Distracted
1,2,2,0,3,0.45542179231936913,0.5420096203907463,0.5335804529853398,1.0,Distracted
2,1,1,0,2,0.4848444084375995,0.5651271402717724,0.32930020204821125,0.764704871863212,Distracted
1,1,1,1,2,0.30192934016224754,0.6873597415214768,0.34524513717885763,0.7602660261742669,Distracted
1,3,1,2,0,0.6906334876210718,0.2900105243040848,0.22218965923251044,0.0,Focused
2,1,1,3,3,0.601927696110437,0.5044656012658253,0.3108585623222679,1.0,Distracted
0,0,1,3,3,0.13748151576277856,0.8363388975946239,0.44437569577409597,1.0,Distracted
1,0,1,0,2,0.12049823767221218,0.8880025578414167,0.3020852949679243,0.6581743042976249,Distracted
1,1,1,1,3,0.3528008245013669,0.5960726902160265,0.32848351955680255,1.0,Distracted
2,3,1,1,2,0.7149940938606372,0.26937361011714167,0.35292297583470356,0.6626787194752054,Stressed
2,1,3,1,2,0.4716880166345737,0.46454989927757995,1.0,0.6919939568603576,Fatigued
1,3,0,1,1,0.5494354288228533,0.4571021381087359,0.013868042429106248,0.29126361058090056,Focused
2,2,3,2,3,0.7792266536308684,0.20954646440743463,0.9684506954049739,0.9637616602248196,Fatigued
1,0,2,1,0,0.22556655687885577,0.7863895382976634,0.6922370416554735,0.0186641643657724,Fatigued
3,0,1,2,3,0.5775255393066357,0.43659705169078117,0.32496967857297104,1.0,Distracted
2,1,0,3,0,0.6361200880612135,0.3871546214824519,0.04615634896257252,0.0,Focused
1,3,1,2,2,0.7118709019028022,0.3213945383466015,0.33114154453710803,0.6954695799000122,Stressed
1,0,1,0,1,0.16111604534209875,0.8505780219648567,0.380394656849367,0.29825979808184316,Relaxed
0,3,3,1,3,0.49254330057269946,0.4319184445301126,1.0,0.9467481248464925,Fatigued
2,1,2,2,3,0.48614411940385516,0.563987441352088,0.7012658239074324,0.9032977890678304,Fatigued
3,1,2,3,2,0.7092457541311379,0.3009849144270972,0.7126399365355321,0.7222070626442333,Fatigued
0,0,2,3,0,0.2628639858185994,0.7623176444959693,0.649567204390647,0.027165956234736433,Relaxed
2,0,1,2,1,0.3839679087674104,0.5846256272546999,0.30368488089619666,0.27309115073356394,Relaxed
1,0,0,2,1,0.3034363730436398,0.6564177706973102,0.058957065517639295,0.4479910592461946,Relaxed
0,2,1,1,1,0.2832462630397864,0.735093725672667,0.42682342706955323,0.40784213995399965,Relaxed
0,2,2,1,0,0.3274405743602866,0.6672325163357853,0.7568635485719625,0.0,Fatigued
1,1,2,2,1,0.3740723515479717,0.5848210299505638,0.6777169369648272,0.2837907085517429,Fatigued
2,1,1,3,0,0.6336509368651558,0.29699224941373326,0.3240757371450155,0.047671106340520394,Focused
1,3,2,2,3,0.6559685604974121,0.38841694938733157,0.6097131940637789,1.0,Distracted
2,0,1,3,0,0.4300490283933822,0.5583645299356047,0.31586936804443644,0.0008317278795969264,Focused
0,1,2,3,0,0.32828702125606285,0.6782214441489273,0.7371154654347553,0.0,Fatigued
2,1,3,3,2,0.5989804200354237,0.39238090478876614,1.0,0.6904953390897783,Fatigued
2,2,1,0,3,0.5699037774991731,0.4285537735546975,0.25766705625141634,0.9953702261899366,Distracted
1,1,2,3,2,0.42767904377374083,0.49374680535546445,0.7291713629670133,0.6886153641628012,Fatigued
3,0,1,3,3,0.5602058788312667,0.49661658473503933,0.4261585186469097,1.0,Distracted
3,1,2,2,0,0.6653073343089927,0.30304850192435256,0.7265221783423641,0.0,Fatigued
1,2,3,3,0,0.6030525246142182,0.41133836775346283,1.0,0.0,Fatigued
